Product Name,Unit,Unit Value
Karpooravalli (theen Vaalai),1,KG
Almond,1,PS
Bismi Health Mix,1,PS
California Pidtachios,1,PS
Makhana (thamarai Vidhai),1,PS
Clove (kirambu),1,PS
Tamarind (puli),1,PS
Ajwain (omam),1,PS
Soyachunks (meal Maker) (big),1,PS
Groundnut (naatu Nilakadalai),1,PS
Vada Dhal (paruppu),1,PS
Sago (javarisi),1,PS
Elandhavadai Hot & Sweet,1,PS
Sappan Wood  (pathimugam),1,PS
White Urad Dal (mottu Ulundhu) (rainfall Yield),1,PS
Agar Agar (kadal Paasi),1,PS
Sesame Balls  (ellu Urundai),1,PS
Groundnut Balls (kadalai Urundai),1,PS
Foxtail Millet (thinai) Laddo,1,PS
Green Gram  (pachai Payiru) Laddo,1,PS
Groundnut (kadalai)  Kova,1,PS
Karuppukavuni Laddo,1,PS
Little Millet (saamai) Laddo,1,PS
Green Gram (pacha Payiru) Laddo,1,PS
Bridegroom(mappilaisamba) Brownie,1,PS
Coconut (thengai) Barfi,1,PS
Karuppukavuni Laddo,1,PS
Pearl Millet  (kambu) Laddo,1,PS
Muffins,1,PS
Cumin Seeds (seeragam),1,PS
Groundnut (nilakadalai)  Balls,1,PS
Foxtail Millet (thinai) Laddo,1,PS
Little Millet (saamai ) Laddo,1,PS
Pearl Millet (kambu) Murukku,1,PS
Finger Millet Ribbon (kelvaragu) Pakoda,1,PS
Minicream Bun,1,PS
Foxtail Millet (thinai) Kuzhal Murukku,1,PS
Cumin Seeds  (seeragam),1,PS
Groundnut (nilakadalai)  Kova,1,PS
Millet Bytes Tangy Tomato (kaara Thakkali),1,PS
Pearl Millet (kambu) Laddo,1,PS
Cookies,1,PS
Millet Bytes Almond (badam) Crunch,1,PS
Millet Bytes Coconut (thengai) Crispy,1,PS
Millet Bytes Choco Fills,1,PS
Millet Bytes Vanilla Fills,1,PS
Millet Bytes Strawberry Fills,1,PS
Jujube (elandhai) Seed,1,PS
Jujube Powder (elandhai Podi),1,PS
Elanthavadai Sweet,1,PS
Tiny Palm Jaggery (karupatti) (tiny Bytes),1,PS
Country Sugar,1,PS
Coconut Sugar,1,PS
Acacia (karuvela ) Honey,1,PS
Sunflower (sooriyagandhi) Honey,1,PS
Mustard (kadugu) Honey,1,PS
Himalayan Honey,1,PS
Pure Mustard Honey,1,PS
Pure Sunflower Honey,1,PS
Pure Acacia Honey,1,PS
Trail Pad,1,PS
Samba Kothumai,1,PS
"Mixed Flakes (ragi,foxtail,little)",1,PS
Groundnut  Seed (naatu Nila Kadalai),1,PS
Double Curry Beans  (irettai Avarai),1,PS
Horse Gram (kollu),1,PS
Kottaram Samba,1,KG
Kodo Millet (varagu) Mixer  200 Gm,1,PS
Millet Chikkies (siruthaaniyam),1,PS
Sandalwood Stone  (sandhana Kal),1,PS
Dhoop ( 40 Gm),1,PS
Kungumam,1,PS
Sandal Wood (sandhana Kattai),1,G
Manvilakku (design),1,PS
Mudakatthan Thokku,1,PS
Amla Powder  (nellikai  Podi),1,PS
Coconut  Powder (thengai  Podi),1,PS
Moringa Leaf Powder (murungai Ilai  Podi),1,PS
Sesame Powder  (ellu Podi),1,PS
Curry Leaf Powder (karuveppilai Podi),1,PS
Charcoal Cream,1,PS
Neem & Turmeric (veppan & Manjal) Soap,1,PS
Kasthuri Manjal - Sh,1,PS
Bamboo Tooth Brush ( Buy 2 Get 1),1,PS
Bamboo Tongue Cleaner,1,PS
Onion Shampoo,1,PS
Loofah (peerkangai Naar),1,PS
Hair Oil (ao),1,PS
Wild Turmeric (kasthurimanjal),1,PS
Herbal Shampoo,1,PS
Proso  Millet Flour (pani Varagu Maavu),1,PS
Rose Soap,1,PS
Desi Pearl Flour (naatu Kambu Maavu),1,PS
Red Sandal Soap,1,PS
Sh : Whole Wheat Flour (gothumai Maavu),1,PS
Rice Flour (arisi Maavu),1,PS
Bengal Gram (kadalai Maavu) (unploished),1,PS
Papaya Scrub,1,PS
Sprouted  Pearlmillet  Flour (mulaikattiya Kambu Maavu),1,PS
Vetiver  (herbal)  Soap (f2b) 100 Gm,1,PS
Cucumber Aloevera Gel,1,PS
Karuppu Kavuni Dosai Ready Mix,1,PS
Vanilla Lip Balm,1,PS
Green Gram Flour (paasi Payiru Maavu),1,PS
Rose & Geranium Bath Salt,1,PS
Charcoal Scrub,1,PS
Kuliyal Powder,1,PS
Rosewater  (paneer),1,PS
Coffee & Cocoa Soap,1,PS
Shea Butter Soap,1,PS
Manicure & Pedicure Scrub,1,PS
Almond Scrub,1,PS
Cocoa Lip Balm (herbal),1,PS
Rose And Mulethi Face Pack (herbal),1,PS
Kasturi Manjal (herbal) Soap (f2b) 100 Gm,1,PS
Papaya (herbal) Soap (f2b) 100 Gm,1,PS
Tooth Powder (kovarshini),1,PS
Albizia Amara (green Arappu) Powder,1,PS
Herbal (mooligai) Soap,1,PS
Cucumber & Aloevera Soap,1,PS
Olive Oil,1,PS
Hibiscus Hair Oil,1,PS
Kupaimeni (herbal)   Soap (f2b),1,PS
Orange (herbal)  Soap (f2b) 100 Gm,1,PS
Charcoal  Soap (f2b) 100 Gm,1,PS
Moringa (murungai) Soap,1,PS
Lavender& Basil Bath Salt,1,PS
Walnut Scrub,1,PS
Natural Herbal Oil,1,PS
Avarampoo (herbal)  Soap (f2b) 100 Gm,1,PS
Natural Face Wash Charcoal,1,PS
Coco & Coffee Soap,1,PS
Sandal Soap,1,PS
Appricot Scrub,1,PS
Vitamin E Oil,1,PS
Foxtail (thinai) Venpongal Mix,1,PS
Bengal Gram (kadalai Maavu) (unploished),1,PS
Black Urad Dhal Porridge (karupu Ulundhu Kanji) Mix,1,PS
Almond Oil,1,PS
Ragi Chocolate Malt,1,PS
Sesame (ellu Maavu) Dosai Mix,1,PS
Idiyappam Flour,1,PS
Fox Tail Flour (thinai Maavu),1,PS
Manjistha  (herbal) Soap (f2b) 100 Gm,1,PS
Saffron Gel (herbal),1,PS
Wheat Flour (kothumai Maavu),1,PS
Facial Powder,1,PS
F2b Health Mix  (satthu Maavu),1,PS
Sprouted Wheat  Flour (mulaikattiya Kothumai Maavu),1,PS
Papaya Soap,1,PS
Eucalyptus & Pepperment Bath Salt,1,PS
Barnyard (kuthuraivali) Dosa Ready Mix,1,PS
Corn Flour (chola Maavu),1,PS
Refreshing Lime Bath Salt,1,PS
Corn Flour (chola Maavu),1,PS
Onion Oil,1,PS
Cocoa Face Pack  (herbal),1,PS
Little Millet (saamai) Dosa Flour,1,PS
Baji & Bonda Mix,1,PS
Sprouted Corn Flour (mulaikattiya Cholam Maavu),1,PS
Proso Millet (pani Varagu) Paniyaram Ready Mix,1,PS
Orange & Lemon Grass Bath Salt,1,PS
Sprouted Horse Gram Flour (mulaikattiya Kollu Maavu),1,PS
Herbal Hair Oil,1,PS
Sprouted Black Channa  Flour (mulaikattiya Karuppu Sundal Maavu),1,PS
Black Panther Oil,1,PS
Charcoal Shampoo,1,PS
Snana Powder,1,PS
Vettiver Hair Oil,1,PS
Cane Sugar & Orange Peel Soap,1,PS
Vitamin C Oil,1,PS
False Daisy (karisalangkanni) Powder,1,PS
Aloevera (katraalai) Gel,1,PS
Aloevera (katraalai) Gel,1,PS
Herbal Hair Oil,1,PS
Bamboo (moongil) Toothbrush,1,PS
Black Dammer ( Karuppu Kungliyam) Powder,1,PS
Vetiver Bath Scrubber,1,PS
Natural Herbal Bath Soap,1,PS
Thiripala Soap,1,PS
Aloevera Soap,1,PS
Boothikai Podi,1,PS
Neem Comb (veppan Seepu),1,PS
Bamboo Fibre Bristle (tooth Brush),1,PS
Charcoal Bristle (tooth Brush),1,PS
Kids Bamboo Tooth Brush (blue),1,PS
Kids Bamboo Tooth Brush( Pink),1,PS
Laundry Bar (washing Soap),1,PS
French Blend Coffee,1,PS
High Voltage Coffee,1,PS
Wild Coffee (coffee 80% Chicory 20%),1,PS
Brown Gold Coffee,1,PS
Mysore Nuggets Coffee,1,PS
Pea Berry 80% Coffee,1,PS
Italian Espresso Roast Coffee,1,PS
Gold Ribbon Coffee (coffee 65%chicory 35%),1,PS
Aroma Gold (coffee 70% Chicory 30%),1,PS
Herbal Mosquito Repellent Incense Sticks,1,PS
Monkey Parchment Coffee(coffee 80% Chicory 20%),1,PS
E2h Coffee (coffee 80%),1,PS
Ayurvedic Cockroach Repelant,1,PS
Dishwash Powder,1,PS
Herbal Cockroach Repellant Oil Gel,1,PS
Nature Spray Sandal,1,PS
Nature Spray Rose,1,PS
Kitchen Cleaner,1,PS
Nature Spray Lavender,1,PS
Jamun (naval Vidhai) Powder,1,PS
Vetti Ver,1,PS
Natural Laundry Detergent,1,PS
Aswagandha Powder,1,PS
Solanumtrilobatum (thuthikai) Soup,1,PS
Andrographis (nilavembu) Powder,1,PS
Brahmi Soup (vallarai),1,PS
Nature Spray White Lily,1,PS
Cassia Auriculata (aavaram Poo) Soup,1,PS
Lotus (thamarai) Powder,1,PS
Bermuda Grass (arugampul) Powder,1,PS
Ficus Glomerata Fruit (atthipalam) Soup,1,PS
Ragi (kelvaragu),1,PS
Tribulus Terrestris (sirunerunjil) Powder,1,PS
Brahmi Powder  (vallarai Podi),1,PS
Balloon Vine (mudakathan) Powder,1,PS
Cassia Auriculata (avaram Poo) Powder,1,PS
Terminalia Chebula (kadukkai) Powder,1,PS
Moringa Leaf Soup (murungai Keerai),1,PS
Bael (vilva ) Leaf Powder,1,PS
Solanum Nigrum Soup (manathakkali),1,PS
Hibiscus (sembaruthi) Soup,1,PS
Cardio Spermum Halicacabum (mudakathaan) Soup,1,PS
Calamus / Sweet Flag (vasambu) Powder,1,PS
False Daisy (karisalankanni) Powder,1,PS
Thulasi Leaf Powder,1,PS
Trikaduku Powder,1,PS
Hibiscus (sembaruthi) Soup,1,PS
Idly Rice(102),1,KG
Musa Paradisiaca (vaalai) Soup,1,PS
Curry Leaf (karuveppilai) Soup,1,PS
Country Gooseberry(keelanelli) Powder,1,PS
Amla (nellikai) Soup,1,PS
Idlykkar Rice,1,KG
Black Nightshade (manathakkali) Powder,1,PS
Garlic (poondu) Soup,1,PS
Syzygium Cumini Nut (naaval Kaai Vidhai) Soup,1,PS
Thanga Samba Ricec,1,KG
Cynodon Daciylon (arugampul)  Soup,1,PS
Altem Anthera Traindra  (paasalai),1,PS
Horse Gram (kollu) Soup,1,PS
Sona Masuri (unpolished) Brown Rice,1,KG
Sona Masuri Steam Rice,1,KG
Pulungal Rice(ir 20),1,KG
Raw Rice(18b),1,KG
Kerala Rice,1,KG
Sona Masuri Raw Rice (18 Months),1,KG
Sivan Samba Rice,1,KG
Kallundai Samba Rice,1,KG
Paalkudavaalai Rice,1,KG
Sonamasoori Rice,1,KG
Sonam Masuri Raw Rice (12 Months),1,KG
Pisini Rice,1,KG
Sithirikkar Rice,1,KG
Iluppai Poo Samba,1,KG
Soorakuruvai Rice,1,KG
Kalabath Rice,1,KG
Madumulungi Rice,1,KG
Kalanamak Rice,1,KG
Bavani Rice,1,KG
Vaadan Samba Rice,1,KG
Kulivedichan Samba Rice,1,KG
Curry Leaves (karuvepillai) Semiya,1,PS
Foxtail Millet (thinai) Noodles,1,PS
Barnyard Millet (kuthurai Vali) Rava,1,PS
Barnyard Millet (kuthiraivaali) Pasta,1,PS
Wheat - Ragi (kothumai - Kelvaragu) Pasta,1,PS
Wheat (kothumai) - Karuppu Kavuni Pasta,1,PS
Wheat - Multi Millet Pasta,1,PS
Pearl Millet Poha (kambu Aval),1,PS
Horsegram Flakes  (kollu Aval),1,PS
Rice Poha (thooyamalli Aval),1,PS
Kodo Millet (varagu) Semiya,1,PS
Wheat - Little Millet (kothumai - Saamai) Pasta,1,PS
Wheat - Moringa (kothumai -  Murungai) Pasta,1,PS
White Poha (vellai Aval),1,PS
Rice Poha (mapillai Samba Aval),1,PS
Wheat Poha (kothumai Aval),1,PS
Kothumalli Rice,1,KG
Finger Millet (ragi) Noodles,1,PS
Quinoa (seemai Thinai)  Noodles,1,PS
Rakthasaali Rice,1,KG
Barnyard (kuthirai Vaali) Vermicelli,1,PS
Drumstick (murungai) Semiya,1,PS
Kodo Millet Poha (varagu Aval),1,PS
Foxtail Millet Poha (thinai Aval),1,PS
Tomato (thakkali) Semiya,1,PS
Ney Kichili Rice,1,KG
Bridegroom (mapilai Samba) Rice Noodles,1,PS
Ragi (kelvaragu) Rava,1,PS
Foxtail Millet (thinai) Rava,1,PS
Kodo Millet (varagu) Semiya,1,PS
Soya Semiya,1,PS
Foxtail - Wheat (thinai - Kothumai) Rava,1,PS
Little Millet (saamai) Pongal Mix,1,PS
"Mixed Flakes (ragi,pearl,sorghum)",1,PS
Wheat - Pearlmillet (kothumai - Kambu) Pasta,1,PS
Kodo (varagu) Millet Rava,1,PS
Unpolished (kaikuthal) Rice Aval,1,PS
Ir 20 Rice,1,KG
Barnyard - Wheat (kuthuraivali Kothumai) Rava,1,PS
Red Poha (sivappu Aval),1,PS
White Sorahum (vellai Solam)  Rava,1,PS
Ragi Poha (kelvaragu Aval),1,PS
Barley Flakes (vaal Kothumai Aval),1,PS
Soya Noodlees,1,PS
Pearl Millet (kambu) Rava,1,PS
Little Millet - Wheat (saamai Kothumai) Rava,1,PS
Broken Wheat (kothumai Kuranai) Rava,1,PS
Wheat - Kodomillet (kothumai - Varagu) Pasta,1,PS
Little Millet (saamai) Semiya,1,PS
Corn Flakes (makka Solam Aval),1,PS
Multi-millet Noodles,1,PS
Wheat (kothumai) Rava,1,PS
Little Millet (saamai) Rava,1,PS
Little Millet Poha  (saamai  Aval),1,PS
Oats,1,PS
Moringa (murungai) Noodles,1,PS
Red Chola Poha (sivappu Chola  Aval),1,PS
Wheat (kothumai) Semiya,1,PS
Green Gram Poha (paasi Payiru Aval),1,PS
Finger Millet (ragi) Noodles,1,PS
Wheat (kothumai) Noodles,1,PS
Wheat (kothumai) Rava,1,PS
Quinoa  Poha (seemai Thinai Aval),1,PS
Multi-millet Noodles,1,PS
Red Rice (sivappu Arisi) Noodles,1,PS
Roasted Sooji (rava),1,PS
Prosomillet (panivaragu) Samba Rava,1,PS
Millet (siruthaaniyam) Noodles,1,PS
White (vellai) Rava,1,PS
Kodo Millet (varagu) Samba Rava,1,PS
Koda Millet (varagu) Pasta,1,PS
Wheat - Barnyard (kothumai -  Kuthuraivali) Pasta,1,PS
Karupu Kavuni Aval,1,PS
Foxtail (thinai) Semiya,1,PS
Red Rice (sivappu Arisi) Noodles,1,PS
Pearl Millet (kambu) Pasta,1,PS
Red Rice  (sivappu Arisi) Pasta,1,PS
Multi Millet Pasta,1,PS
Little Millet (saamai) Pasta,1,PS
White Solam Poha (vellai Solam Aval),1,PS
Barnyard Poha (kuthiraivaali  Aval),1,PS
Pearl Millet (kambu) Noodles,1,PS
Horse Gram (kollu) Noodles,1,PS
Barnyard Millet (kuthirai Vaali) Noodles,1,PS
Foxtail (thinai) Millet Pasta,1,PS
Wheat - Foxtail Millet (kothumai - Thinai) Pasta,1,PS
Little Millet (saamai) Noodles,1,PS
Moringa (murungai) Pasta,1,PS
Finger Millet (ragi) Pasta,1,PS
Ragi (kelvaragu) Semiya,1,PS
Butter Beans Seeds (vari Mochai),1,PS
White Peas (vella Pattani),1,PS
Paasi Payiru (rainfall Yield),1,PS
Rangoon Beans (mochai ),1,PS
Nilakadalai (groundnut),1,PS
White Channa (vellai Sundal),1,PS
Red Sorghum (sivapu Cholam),1,PS
Mysore Dal,1,PS
Mysore Dal,1,PS
Bengal Gram Full (mulu Pottu Kadalai),1,PS
Toor Dal,1,PS
Dot Beans (pulli Pattani),1,PS
Yellow Sorghum (manjal Cholam),1,PS
White Sorghum (vellai Cholam),1,PS
White Urad Dal (vellai Mottu Ulundhu),1,PS
Black Channa (karupu Sundal),1,PS
Bengal Gram (split) (pottu Kadalai),1,PS
Red (sivappu) Rajma,1,PS
Bengal Gram Full (mulu Pottu Kadalai),1,PS
Soya Beans,1,PS
Corriander (malli) Powder,1,PS
Mustard (kadugu),1,PS
White Pepper (vellai Milagu) Powder,1,PS
Garam Masala,1,PS
Mustard (kadugu),1,PS
Black Pepper (karumilagu) Powder,1,PS
Black Pepper (karumilagu) Powder,1,PS
Fenel Seeds (sombu),1,PS
Gundu Milagai,1,PS
Fenel Seeds  (sombu),1,PS
Corriander (malli) Powder,1,PS
Chilli (milagai) Powder,1,PS
Fenel Seeds (sombu),1,PS
White Pepper (vellai Milagu),1,PS
Cinnamon (pattai),1,PS
Kadukai,1,PS
Gundu Milagai,1,PS
Turmeric Powder  (manjal Thool),1,PS
Sambar Powder	,1,PS
Cloves (kirambu),1,PS
Cumin (seearagam) Powder,1,PS
Nutmeg (jaathikaai),1,PS
Turmeric Powder (manjal Thool ),1,PS
Black Cumin (karunjeeragam),1,PS
Poppy Seed (kasa Kasa),1,PS
Turmeric Powder  (manjal Thool),1,PS
Mustard (kadugu),1,PS
Bay Leaf (biriyani Leaf) (non Organic),1,PS
Fenu Greek (vendhaiya) Powder,1,PS
Cardamom (organic),1,PS
Kasuri Methi  (venthaya Keerai),1,PS
Virali Manjal,1,PS
Bengal Gram (split) (pottu Kadalai),1,PS
Black Horse Gram (karupu Kollu),1,PS
White Pepper Powder (100g),1,PS
Teja Red Chilli ( Teja Milagai),1,PS
Dry Ginger (sukku),1,PS
Foxtail (thinai) (unpolished),1,PS
Soiled Toor Dal (mankattiya Thuvaram Paruppu),1,PS
Paasi Paruppu (250g),1,PS
Pomegranate (maadhulai) Soap,1,PS
Ayurvedic Rat Repellent ((200ml),1,PS
Herbal Room Disinfectant (lemon),1,PS
Ayurvedic Mosquito Repellent Room Spray,1,PS
Ayurvedic Ant Repellent (200ml),1,PS
Mos Relief Vaporizer -,1,PS
Sesame Laddo,1,BOX
Green Gram (pacha Payiru) Laddo,1,BOX
Green Gram (pachai Payiru) Laddo,1,BOX
Sesame Laddo,1,BOX
Groundnut Laddu,1,BOX
Groundnut Laddu,1,BOX
Venthaiyam,1,PS
Wheat Bread(medium),1,PS
Wheat Bread(small),1,PS
Bread Whole Wheat,1,PS
Rava Bread (medium),1,PS
Rava Bread (small),1,PS
Ginger Candy,1,PS
Groundnut Balls,1,PS
Sweet Seedai,1,PS
White Sesame Balls,1,PS
Black Sesame Ball,1,PS
Coconut Jaggery Balls,1,PS
Nectraw (padhaneer) Bottle,1,L
Madu Mulzhuingi Murukku,1,PS
Rathasaali Murukku,1,PS
Mapillai Samba Aval Mixer,1,PS
Kunkumadi Oil,1,PS
Lemon Grass Essential Oil (15ml),1,PS
Samai Flour 250g,1,PS
Sprouted Pearl Millet,1,PS
Seven Flours (ellu Maavu) Dosai Mix,1,PS
Ragi Flour,1,PS
Vellai Sola Flour 250g,1,PS
Onion Thokku (200g),1,PS
Lemon Pickle 200gm,1,PS
Wheat Daliya ((500g),1,PS
Bay Leaf Organic,1,PS
Black Sesame,1,PS
White Sesame,1,PS
Brown Rice Flakes,1,PS
Poongar Rice Poha,1,PS
Kattuyanam Poha,1,PS
Corn Flakes,1,PS
Sh:white Poha,1,PS
Paasi Paruppu (rainfall Yield),1,PS
Paasi Paruppu (nattu),1,PS
Toor Dal,1,PS
Kadalai Paruppu(rainfall Yield),1,PS
Paasi Paruppu(roasted & Stone Grinded),1,PS
Bellar Dhal(avarai Paruppu),1,PS
Groundnut(rainfall Yield),1,PS
Groundnut(nilakadalai Nattu),1,PS
Groundnut(rainfall Yield),1,PS
Groundnut(nilakadalai Nattu),1,PS
Soya Chuks(meal Makers Small),1,PS
Kashmiri Milagai,1,PS
Bridegroom(mappilai Samba) Flour,1,PS
Karuppu Kavuni Rice Kanji Mix,1,PS
Curry Masala,1,PS
Kulambu Milagai Thool,1,PS
Fig Idly Podi Mix,1,PS
Panakalkandu,1,PS
Jaggery Powder,1,PS
Khandsari Sugar,1,PS
Tripala Powder,1,PS
Long Pepper(thippili),1,PS
Acacia Honey,1,PS
Sesame Honey,1,PS
Rosewood Honey,1,PS
Berry Honey,1,PS
Black Raisin Seedless,1,PS
Bee Pollen,1,PS
Black Raisin Seedless,1,PS
Roasted Peanut,1,PS
Royal Ubtan Pwder,1,PS
Boys Bathing Powder,1,PS
Shikakai Powder,1,PS
Moringa Serum,1,PS
Neem Soap,1,PS
Castor Oil,1,PS
Groundnut Oil(naatu),1,PS
Kovarshini Natural Shampoo,1,PS
Abc Malt,1,PS
Palm Jaggery Powder,1,PS
White Thiri,1,PS
Thooyamalli Aval Laddo,1,PS
Palm Jaggery Macroon,1,PS
Paasi Paruppu Urandai,1,PS
Paasi Paruppu Urandai,1,PS
Green Thiri,1,PS
Karuppukavuni Laddo - 250,1,PS
Lemon Vermicelli 180 Gm,1,PS
Palm Jaggery Macroon 35 Gms,1,PS
Kollu Vermicelli 180 Gm,1,PS
Red Rice Vermicelli 180 Gm,1,PS
Fresh Groundnut,100,G
Dosa Batter (dhanyam) 1 Litre,1,L
Dry Chilli 500 Gm,500,G
